Gene_name	Sample2
ENSG00000223972	0.02398
ENSG00000227232	10.68
ENSG00000243485	0.1066
ENSG00000237613	0.06713
ENSG00000268020	0.1296
ENSG00000240361	0.08706
ENSG00000186092	0.1337
ENSG00000238009	0.2984
ENSG00000233750	0.2827
ENSG00000237683	17.15
ENSG00000268903	2.2
ENSG00000239906	1.9
ENSG00000241860	0.4425
ENSG00000222623	0
ENSG00000241599	0.08953
ENSG00000228463	0.6369
ENSG00000237094	0.3513
ENSG00000250575	0.4739
ENSG00000233653	0.0334
ENSG00000224813	0
ENSG00000235249	0.08224
ENSG00000269732	0.1127
ENSG00000256186	0
ENSG00000236601	0.1236
ENSG00000236743	0.2421
ENSG00000236679	0
ENSG00000231709	0.1458
ENSG00000235146	0
ENSG00000239664	0
ENSG00000230021	0.07246
ENSG00000223659	0.102
ENSG00000225972	18.7
ENSG00000225630	1119
ENSG00000237973	57.76
ENSG00000229344	15.24
ENSG00000240409	41.17
ENSG00000248527	4025
ENSG00000198744	20.38
ENSG00000268663	0
ENSG00000185097	0.04112
ENSG00000229376	0.1669
ENSG00000224956	9.203
ENSG00000235373	0.2357
ENSG00000223181	0
ENSG00000240618	0.5431
ENSG00000229905	0.1795
ENSG00000228327	6.59
ENSG00000237491	1.283
ENSG00000230092	1.132
ENSG00000269831	0
ENSG00000240453	0
ENSG00000177757	1.275
ENSG00000225880	6.369
ENSG00000228794	5.278
ENSG00000230368	0.04722
ENSG00000234711	0.0499
ENSG00000269308	0
ENSG00000272438	0.816
ENSG00000230699	0.5772
ENSG00000241180	0
ENSG00000223764	2.209
ENSG00000187634	1.189
ENSG00000268179	0
ENSG00000188976	62.55
ENSG00000187961	16.84
ENSG00000187583	6.585
ENSG00000187642	1.954
ENSG00000272512	2.216
ENSG00000188290	20.42
ENSG00000231702	0.5314
ENSG00000224969	0.8687
ENSG00000187608	21.52
ENSG00000188157	47.55
ENSG00000217801	5.994
ENSG00000273443	2.26
ENSG00000237330	0.7529
ENSG00000131591	18.91
ENSG00000223823	1.263
ENSG00000207730	0.8614
ENSG00000207607	0.4546
ENSG00000198976	0.9859
ENSG00000272141	25.54
ENSG00000205231	0.8175
ENSG00000162571	1.46
ENSG00000186891	3.226
ENSG00000186827	5.865
ENSG00000078808	135.9
ENSG00000176022	23.76
ENSG00000184163	2.093
ENSG00000260179	1.471
ENSG00000160087	27.79
ENSG00000230415	8.933
ENSG00000162572	12.88
ENSG00000131584	36.76
ENSG00000169972	14.57
ENSG00000127054	62.41
ENSG00000240731	33.39
ENSG00000224051	31.74
ENSG00000169962	0.9622
ENSG00000107404	64.5
ENSG00000162576	136.3
ENSG00000175756	64.38
ENSG00000223663	0.446
ENSG00000221978	274.8
ENSG00000224870	19.02
ENSG00000242485	55.45
ENSG00000272455	6.636
ENSG00000235098	9.648
ENSG00000225905	3.303
ENSG00000205116	0
ENSG00000225285	3.269
ENSG00000179403	17.3
ENSG00000215915	3.51
ENSG00000160072	34.21
ENSG00000197785	14.88
ENSG00000205090	5.441
ENSG00000160075	119.7
ENSG00000215014	1.405
ENSG00000236684	0
ENSG00000228594	2.492
